ЧЯТИЩЯ	82118.4
ЯЗКИД	134787.8
гехаже	123248.64
ДСЮЮХ	641125.2
ЗЫЕЛЫУ	175466.4
рушеуб	13752.02
ОЛЕЕЛЭ	877307.0
УЕВФЕ	448062.99
ФЧОПЫС	353686.3
ЩЭВНЫ	136416.0
ЧЯТИЩЯ	840369.6
ЯЗКИД	178153.9
ГЕХАЖЕ	53778.24
ДСЮЮХ	225747.72
ЗЫЕЛЫУ	815747.28
рушеуб	77489.89
олеелэ	201142.06
УЕВФЕ	433001.9
ФЧОПЫС	26219.7
щэвны	282104.46
ЧЯТИЩЯ	101566.96
ЯЗКИД	16704.93
ГЕХАЖЕ	650751.88
ДСЮЮХ	396169.02
зыелыу	130154.2
РУШЕУБ	10419.66
олеелэ	800102.1599999999
уевфе	2354.2799999999997
ФЧОПЫС	125734.68
щэвны	30922.5
чятищя	290314.17
язкид	89365.36
ГЕХАЖЕ	313474.5
дсююх	697006.68
зыелыу	370626.2
рушеуб	419722.2
ОЛЕЕЛЭ	34777.05
уевфе	367173.4
ФЧОПЫС	85689.6
щэвны	98512.51000000001
ЧЯТИЩЯ	113256.72
ЯЗКИД	901293.12
ГЕХАЖЕ	25540.97
дсююх	107464.04
зыелыу	319000.5
рушеуб	325445.49
ОЛЕЕЛЭ	318909.36
УЕВФЕ	191332.96
фчопыс	126046.59
ЩЭВНЫ	2536.86
чятищя	51494.52
язкид	228145.72
ГЕХАЖЕ	397207.8
дсююх	898719.54
зыелыу	323041.23000000004
рушеуб	178869.96
олеелэ	10984.34
УЕВФЕ	154309.32
фчопыс	73614.8
ЩЭВНЫ	640398.94
чятищя	532667.78
ЯЗКИД	167990.4
ГЕХАЖЕ	35199.78
ДСЮЮХ	22592.12
ЗЫЕЛЫУ	778369.02
РУШЕУБ	363018.24
олеелэ	59515.979999999996
уевфе	223954.5
ФЧОПЫС	393403.64
щэвны	202343.19
чятищя	476286.72000000003
ЯЗКИД	38420.7
ГЕХАЖЕ	788.84
дсююх	180472.66
зыелыу	694391.94
РУШЕУБ	115644.54
ОЛЕЕЛЭ	122587.92
уевфе	403338.0
ФЧОПЫС	230424.99
ЩЭВНЫ	225079.75
чятищя	359784.08
ЯЗКИД	17580.78
ГЕХАЖЕ	68540.28
ДСЮЮХ	13562.5
зыелыу	34776.55
РУШЕУБ	47257.2
олеелэ	165553.92
УЕВФЕ	33813.0
фчопыс	357828.32
щэвны	46045.95
чятищя	188647.47
язкид	16046.98
гехаже	565919.6
ДСЮЮХ	239811.25
зыелыу	412037.18
рушеуб	585474.5599999999
олеелэ	677613.9600000001
уевфе	2268.0
фчопыс	25317.0
ЩЭВНЫ	306409.2
чятищя	672250.4
ЯЗКИД	659934.6
гехаже	48245.05
ДСЮЮХ	111289.99
ЗЫЕЛЫУ	54960.0
рушеуб	52020.78
ОЛЕЕЛЭ	421988.94
УЕВФЕ	165494.14
фчопыс	382110.42
ЩЭВНЫ	629859.14
ЧЯТИЩЯ	16757.48
ЯЗКИД	41408.25
ГЕХАЖЕ	107968.0
ДСЮЮХ	465664.29
зыелыу	12658.5
рушеуб	184668.40000000002
ОЛЕЕЛЭ	467280.0
уевфе	267590.53
фчопыс	14588.699999999999
ЩЭВНЫ	19261.44
чятищя	257374.25999999998
язкид	64607.82
ГЕХАЖЕ	327255.27
ДСЮЮХ	5550.3
зыелыу	495827.92
рушеуб	750.19
олеелэ	253688.85
уевфе	209566.21000000002
ФЧОПЫС	115273.6
щэвны	632515.0
чятищя	53753.28
язкид	25872.48
гехаже	2249.91
ДСЮЮХ	955269.96
ЗЫЕЛЫУ	41251.47
РУШЕУБ	125735.87
ОЛЕЕЛЭ	236753.7
уевфе	73260.65
фчопыс	261227.69999999998
ЩЭВНЫ	268557.1
чятищя	88308.0
ЯЗКИД	672835.38
гехаже	621595.7
ДСЮЮХ	173414.52
ЗЫЕЛЫУ	102856.0
РУШЕУБ	181137.07
олеелэ	324653.68
УЕВФЕ	194785.2
фчопыс	70095.76
ЩЭВНЫ	73244.6
ЧЯТИЩЯ	69112.64
ЯЗКИД	237949.38
гехаже	174103.08
дсююх	96753.46
ЗЫЕЛЫУ	55060.68
РУШЕУБ	512634.69
ОЛЕЕЛЭ	9925.74
уевфе	444805.19999999995
фчопыс	11087.720000000001
щэвны	96815.09
чятищя	432685.63
язкид	512376.29999999993
гехаже	110821.6
ДСЮЮХ	500840.76
ЗЫЕЛЫУ	256327.66
РУШЕУБ	130762.94
олеелэ	92294.28
уевфе	75639.33
ФЧОПЫС	618558.35
щэвны	150302.88
чятищя	21817.29
язкид	626389.6
гехаже	126620.76
дсююх	8522.1
ЗЫЕЛЫУ	45811.92
