INFO:__main__:File(name='task_06', ext='.log', is_dir=False, par_dir=WindowsPath('.'))
INFO:__main__:File(name='task_1', ext='.log', is_dir=False, par_dir=WindowsPath('.'))
INFO:__main__:File(name='task_1', ext='.py', is_dir=False, par_dir=WindowsPath('.'))
INFO:__main__:File(name='task_2', ext='.log', is_dir=False, par_dir=WindowsPath('.'))
INFO:__main__:File(name='task_2', ext='.py', is_dir=False, par_dir=WindowsPath('.'))
INFO:__main__:File(name='task_3', ext='.log', is_dir=False, par_dir=WindowsPath('.'))
INFO:__main__:File(name='task_3', ext='.py', is_dir=False, par_dir=WindowsPath('.'))
INFO:__main__:File(name='task_4', ext='.log', is_dir=False, par_dir=WindowsPath('.'))
INFO:__main__:File(name='task_4', ext='.py', is_dir=False, par_dir=WindowsPath('.'))
INFO:__main__:File(name='task_5', ext='.py', is_dir=False, par_dir=WindowsPath('.'))
INFO:__main__:File(name='task_6', ext='.py', is_dir=False, par_dir=WindowsPath('.'))
